"Question_Number","Part","Subject","Context_Passage","Question_English","Question_Hindi","Option_A_English","Option_A_Hindi","Option_B_English","Option_B_Hindi","Option_C_English","Option_C_Hindi","Option_D_English","Option_D_Hindi","Correct_Option_Key","Explanation_Hindi"
"121","Part-IV","Social Science","","How many Suddh and Vikrit swaraas total are there in Hindustani Sangeet?","हिन्दुस्तानी संगीत में शुद्ध और विकृत कुल मिलाकर कितने स्वर होते हैं?","08","आठ","12","बारह","07","सात","11","ग्यारह","b","हिन्दुस्तानी संगीत में शुद्ध और विकृत कुल मिलाकर 12 स्वर होते हैं। एक सप्तक में 7 शुद्ध और 5 विकृत कुल 12 स्वर माने गये हैं। शुद्ध स्वर निश्चित स्थान पर रहता है तो शुद्ध स्वर कहलाता है। शुद्ध स्वर 7 माने गये हैं- षड़ज - सा, ऋषभ - रे, गांधार - ग, मध्यम - म, पंचम - प, धैवत - घ, निषाद - नी, विकृत स्वरों की संख्या 5 है कोमल स्वर - रे, ग, ध, नी, तीव्र स्वर- म"
"122","Part-IV","Social Science","","With which Gayald Char Taal is used?","चार ताल का प्रयोग किस गायकी के साथ किया जाता है?","Tarana","तराना","Dhamar","धमार","Dhrupad","ध्रुपद","Khyal","ख्याल","c","'चार ताल' का प्रयोग ध्रुपद गायकी के साथ किया जाता है। ध्रुपद हिन्दुस्तानी संगीत के सबसे पुराने और भव्य रूपों में से एक है। अकबर के शासनकाल में तानसेन और बैजूबावरा से लेकर राजा मानसिंह तोमर के दरबार तक ध्रुपद गाने वाले मिलते हैं। ध्रुपद एक काव्यात्मक रूप है, इसमें संस्कृत अक्षरों का प्रयाग किया जाता है। तराना यह एक कर्कश प्राकृतिक राग हैं। अमीर खुसरों को इस विधा का जनक माना जाता है। ख्याल शब्द फारसी का शब्द है, इसका अर्थ होता है विचार या कल्पना। इस शैली के उद्भव का श्रेय अमीर खुसरो को दिया जाता है। ख्याल को शास्त्रीय स्वरूप प्रदान करने का श्रेय सदानन्द नियामत खाँ को है।"
"123","Part-IV","Social Science","","Amongst these who is not a ""Tabla Player""","इनमें से कौन 'तबला वादक' नहीं है?","Zakir Husain","ज़ाकिर हुसैन","Pt. Kishan Maharaj","पं. किशन महाराज","Ram Das Sharma","राम दास शर्मा","Ahmed Jan Thirakwa","अहमद जान थिरकवा","c","रामदास शर्मा तबला वादक नहीं है जबकि जाकिर हुसैन, पं. किशन महाराज, अहमद जान थिरकवा तबला वादक हैं। (Table of instruments and players follows)"
"124","Part-IV","Social Science","","Where was first ""National Games"" Organised?","प्रथम ""राष्ट्रीय खेल"" कहाँ आयोजित हुये ?","Mumbai","मुम्बई","New Delhi","नई दिल्ली","Kolkata","कोलकाता","Chennai","चेन्नई","a","1940 में बाम्बे (मुम्बई) में प्रथम राष्ट्रीय खेल का आयोजन किया गया था। प्रत्येक दो वर्ष बाद राष्ट्रीय खेलों का आयोजन किया जाता है। इन खेलों को भारतीय ओलम्पिक खेल के नाम से भी जाना जाता है। भारत पहली बार 1920 में ओलम्पिक खेलों में भाग लिया। 1924 के ओलम्पिक खेलों में भाग लेने के लिए खिलाड़ियों के चयन हेतु पहला भारतीय ओलम्पिक खेल 1924 में लाहौर में आयोजित किया गया। इसी खेल का नौवाँ संस्करण मुम्बई में 1940 में आयोजित किया गया, जिसमें इसे राष्ट्रीय खेल नाम दिया गया। पहला आधुनिक राष्ट्रीय खेल 1985 में नई दिल्ली में आयोजित किया गया।"
"125","Part-IV","Social Science","","""Today India does not need Geeta but needs a football ground."" This thought was given by which Thinker"" ?","""आज भारत को गीता की नहीं, बल्कि फुटबाल के मैदान की आवश्यकता है।"" यह किस विचारक ने प्रस्तुत किया है?","Swami Vivekanand","स्वामी विवेकानन्द","Radhakrishnan","राधाकृष्णन","Pluto","प्लूटो","Rousseau","रूसो","a","""आज भारत को गीता की नहीं बल्कि फुटबाल के मैदान की आवश्यकता है।"" यह विचार स्वामी विवेकानन्द जी का है। ""शिक्षक वह नहीं जो छात्र के दिमाग में तथ्यों को जबरन दूँस, बल्कि वास्तविक शिक्षा तो वह है जो उसे आने वाले कल की चुनौतियों के लिये तैयार करे""- सर्वपल्ली राधाकृष्णन ""अपने जीवन के संरक्षण के लिये प्रत्येक व्यक्ति को अपनी जान जोखिम में डालने का अधिकार है""- रूसो"
"126","Part-IV","Social Science","","Progeny of nucleus seed is","केन्द्रिक बीज की संतति है-","Foundation seed","आधारीय बीज","Breeder seed","प्रजनक बीज","Certified seed","प्रमाणित बीज","Registered seed","पंजीकृत बीज","b","'प्रजनक बीज' केन्द्रीय बीज (Breeder seed) की संतति है। आनुवंशिक शुद्धता का उत्पादन और उन कृषकों को उपलब्ध होना, उत्तम बीजों के उत्पादन पर निर्भर रहता है, प्रजनक बीज उत्पादन का कार्य भारतीय कृषि अनुसंधान केन्द्रों व राज्यों के कृषि विश्वविद्यालयों द्वारा किया जाता है इस बीज की थैली पर सुनहरे पीले रंग का बीज के विवरण का लेबिल लगा होता है। आधार बीज (Foundation Seed) - यह बीज प्रजनक बीज की संतति होती हैं जिसे बीज प्रमाणीकरण संस्था की देखरेख में निर्धारित मानकों पर पाये जाने पर प्रमाणित किया जाता है। आधार बीज की थैलियों पर सफेद रंग का प्रमाणीकरण टैग (लेबिल) लगा होता है। प्रमाणित बीज (Certified seed) - आधार बीज से द्विगुणन कर प्रमाणित बीज तैयार किया जाता है। जिसे बीज प्रमाणीकरण संस्था द्वारा निर्धारित मानक अनुसार पाये जाने पर प्रमाणित किया जाता है। प्रमाणित बीज की थैलियों पर नीले रंग का टैग लगा होता है।"
"127","Part-IV","Social Science","","Central Institute of Medicinal and Aromatic Plant is situated at","केन्द्रीय औषधीय एवं सुगंध पौधा संस्थान स्थित है-","New Delhi","नई दिल्ली","Hyderabad","हैदराबाद","Bhopal","भोपाल","Lucknow","लखनऊ","d","केन्द्रीय औषधीय एवं सुगंध पौधा संस्थान लखनऊ में स्थित है। (Table of institutes and locations follows)"
"128","Part-IV","Social Science","","The most suitable fruit for marmalad making is","मार्मलेड बनाने के लिए सर्वाधिक उपयुक्त फल है-","Jamun","जामुन","Banana","केला","Malta","माल्टा","Bael","बेल","c","मार्मलंड बनाने के लिये सर्वाधिक उपयुक्त फल माल्टा है। माल्टा नीबू प्रजाति का खुशबूदार एंटी ऑक्सीडेंट और शक्ति वर्धक फल है। इसका रस ही नहीं बल्कि इसका छिलका भी कारगर है। माल्टा के सेवन से गुर्दे की पथरी दूर होती  , चिकित्सक पथरी के रोगियों को माल्टा का जूस पीने की सलाह देते हैं। माल्टा सिट्रस परिवार का फल है, जिसमें विटामिन C पर्याप्त मात्रा में पाया जाता है। जामुन खाने से शुगर के रोगी को फायदा होता है, यह रक्त के अन्दर शर्करा की मात्रा को नियंत्रित करता है। डायबिटीज के रोगी को प्रतिदिन जामुन के या चूर्ण का सेवन करना चाहिए। जामुन की गुठली ब्लड प्रेशर को नियंत्रित करती है।"
"129","Part-IV","Social Science","","Central Food Technological Research Institute is situated at","केन्द्रीय खाद्य प्रौद्योगिकी अनुसंधान संस्थान स्थित है-","Maharashtra","महाराष्ट्र","New Delhi","नई दिल्ली","Karnataka","कर्नाटक","None of these","इनमें से कोई नहीं","c","केन्द्रीय खाद्य प्रौद्योगिकी अनुसंधान संस्थान मैसूर (कर्नाटक) में स्थित है। (Table of research institutes and locations follows)"
"130","Part-IV","Social Science","","Which preservative is used in Jelly making?","जैली बनाने में किस परिरक्षक का प्रयोग होता है?","Pectin","पेक्टिन","Sugar","शर्करा","Sulphite","सल्फाइट","Sulphur dioxide","सल्फर डाईऑक्साइड","b","जैली बनाने में शर्करा परिरक्षक का प्रयोग होता है। जैम, जैली, एवं स्कवैश का परिरक्षण चीनी द्वारा किया जाता है। चीनी के प्रयोग से खाद्य पदार्थ की नमी में कमी आती है जो प्रदूषण करने वाले जीवाणुओं की वृद्धि को नियंत्रित करता है। पेक्टिन सेल की दीवार को संरचनात्मक अखंडता, शक्ति और लचीलापन भी प्रदान करता है जब पेक्टिन को चीनी के साथ गर्म किया जाता है तो उत्पाद मोटा होना शुरू हो जाता है, यह व्यापक रूप से जैम, जैली और मुरब्बा बनाने में किया जाता है। फलों के रस से जैली बनायी जाती है, जबकि फलों के गूदों से जैम बनाया है नमक एवं खाद्य तेल का उपयोग सूक्ष्म जीवों की वृद्धि रोकने के लिये सामान्य रूप से किया जाता है। अतः इन्हें परिरक्षण कहते हैं। सोडियम बेजोंइट तथा सोडियम मेटाबाईसल्फाइट सामान्य परिरक्षक हैं।"
"131","Part-IV","Social Science","","Community Development Programme was started in the year","सामुदायिक विकास कार्यक्रम कब शुरू किया गया?","1955","1955 में","1952","1952 में","1957","1957 में","1960","1960 में","b","देश में सामुदायिक विकास कार्यक्रम 2 अक्टूबर 1952 में शुरू किया गया। इसके पश्चात ग्रामीण भारत में निवास कर रहे लोगों को प्रभावी स्वास्थ्य सुविधाएं उपलब्ध कराने के लिए राष्ट्रीय ग्रामीण स्वास्थ्य मिशन योजना 12 अप्रैल 2005 को प्रारंभ किया गया। वर्तमान में इस कार्यक्रम को सम्पूर्ण देश में लागू किया गया है। ध्यातव्य है, कि वर्ष 2013-14 में राष्ट्रीय ग्रामीण स्वास्थ्य मिशन (NRHM) तथा राष्ट्रीय शहरी स्वास्थ्य मिशन (NUHM) को मिलाकर राष्ट्रीय स्वास्थ्य मिशन (NHM) चालू किया गया। 2022-23 में NHM के लिए आवंटन ₹37 हजार करोड़ किया गया है।"
"132","Part-IV","Social Science","","The Supreme Court of India enunciated the Doctrine of Basic structure of the Constitution in India","भारत में उच्चतम न्यायालय ने संविधान के बुनियादी ढाँचे का सिद्धान्त दिया-","Sajjan Singh case","सज्जन सिंह के मामले में","Shankari Prasad case","शंकरी प्रसाद के मामले में","Golakh Nath case","गोलकनाथ के मामले में","Keshwanand Bharti case","केशवानंद भारती के मामले में","d","भारत में उच्चतम न्यायालय ने संविधान के बुनियादी ढाँचे का सिद्धान्त केशवानन्द भारती के मामले में दिया। केशवानन्द भारती मामले में 1973 में सर्वोच्च न्यायालय ने व्यवस्था दी थी कि अनुच्छेद 368 के तहत संसद को मिली संवैधानिक शक्ति संविधान के मूल ढाँचे को बदलने की अनुमति नहीं देता। स्वतन्त्रता के शुरुआती वर्षों में सर्वोच्च न्यायालय ने 'शंकरी प्रसाद बनाम भारत सरकार मामला (1951)' और 'सज्जन सिंह बनाम राजस्थान सरकार मामला (1965)' जैसे मामलों में निर्णय देते हुये संसद को संविधान में संशोधन करने की पूर्ण शक्ति प्रदान की गयी। 'गोलकनाथ बनाम पंजाब सरकार (1967)' मामले में सर्वोच्च न्यायालय ने कहा कि ""संसद अनुच्छेद 368 के अधीन मौलिक अधिकारों को समाप्त या सीमित करने की शक्ति नहीं रखती।"""
"133","Part-IV","Social Science","","Under which Article of the Indian Constitution, the Governor has the power to reserve a bill for the President's assent?","भारतीय संविधान के किस अनुच्छेद के अन्तर्गत राज्यपाल एक विधेयक को राष्ट्रपति की स्वीकृति के लिए सुरक्षित रखने की शक्ति रखता है?","Article 108","अनुच्छेद 108","Article 52","अनुच्छेद 52","Article 200","अनुच्छेद 200","Article 213","अनुच्छेद 213","c","भारतीय संविधान के अनु. 200 के अन्तर्गत राज्यपाल किसी विधेयक को राष्ट्रपति की स्वीकृति के लिये सुरक्षित रखने की शक्ति रखता है। संविधान के अनु. 155 के अनुसार राज्यपाल की नियुक्ति राष्ट्रपति की मुहर लगे आज्ञापत्र के माध्यम से होती है। • अनुच्छेद 52 में राष्ट्रपति का उल्लेख है • अनुच्छेद 108 के अन्तर्गत किसी विधेयक पर संसद के दोनों सदनों (लोकसभा तथा राज्यसभा) के मध्य गतिरोध की स्थिति में संविधान सभा द्वारा संयुक्त बैठक का प्रावधान किया गया है। संयुक्त बैठक राष्ट्रपति द्वारा बुलाई जाती है, तथा इसकी अध्यक्षता लोकसभा अध्यक्ष करता है। अनु. 213 में राज्यपाल को अध्यादेश जारी करने की शक्ति है जबकि राष्ट्रपति को अध्यादेश जारी करने की शक्ति अनु. 123 में है"
"134","Part-IV","Social Science","","The Vice-President of India is elected by the members of an electoral college consisting of","भारत के उपराष्ट्रपति का निर्वाचन निर्वाचक मण्डल द्वारा किया जाता है, जिसके सदस्य होते हैं-","All members of both Houses of Parliament","संसद के दोनों सदनों के सभी सदस्य","All members of the Council of States","राज्य सभा के सभी सदस्य","Elected members of both Houses of Parliament","संसद के दोनों सदनों के निर्वाचित सदस्य","Elected members of the Council of States","राज्य सभा के निर्वाचित सदस्य","a","भारत के उपराष्ट्रपति का निर्वाचन संसद के दोनों सदनों के सभी सदस्य द्वारा किया जाता है। संविधान के अनुच्छेद 63 के अनुसार भारत का एक उपराष्ट्रपति होगा। उपराष्ट्रपति का पद देश का दूसरा सर्वोच्च पद होता है। उपराष्ट्रपति का पद अमेरिका के उपराष्ट्रपति के पद की तर्ज पर बनाया गया है। उपराष्ट्रपति को जनता द्वारा सीधे नहीं चुना जाता बल्कि परोक्ष विधि से चुना जाता है। वह संसद के दोनों सदनों के सदस्यों के निर्वाचक मंडल द्वारा चुना जाता है। उपराष्ट्रपति पद के लिये उसे भारत का नागरिक होना चाहिए, वह 35 वर्ष की आयु पूर्ण कर चुका हो तथा राज्यसभा सदस्य बनने के लिय अर्हित हो।"
"135","Part-IV","Social Science","","Which country is not the member of SAARC?","कौन-सा देश दक्षेस का सदस्य नहीं है?","Nepal","नेपाल","Bhutan","भूटान","Bangladesh","बांग्लादेश","Japan","जापान","d","'जापान' दक्षेस (SAARC) का सदस्य देश नहीं है, जबकि नेपाल, भूटान, बांग्लादेश दक्षेस के सदस्य देश हैं। दक्षिण एशियाई क्षत्रीय सहयोग संगठन (The south asian association for regional cooperation (SAARC)) की स्थापना 8 दिसम्बर 1985 को ढाका (बांग्लादेश) में सार्क चार्टर पर हस्ताक्षर के साथ की गयी। इस संगठन का मुख्यालय नेपाल के काठमाण्डू में स्थित है वर्तमान में सार्क के आठ सदस्य देश हैं (1) अफगानिस्तान, (2) बांग्लादेश, (3) भूटान, (4) भारत, (5) नेपाल, (6) मालदीव, (7) श्रीलंका, (8) पाकिस्तान। नोट-सार्क के वर्तमान महासचिव एसेला रूवान वीराकून हैं"
"136","Part-IV","Social Science","","Saffron is obtained from","केसर प्राप्त किया जाता है-","Leaf","पत्ती से","Bud","कलिका से","Flower stigma","पुष्प वर्तिका से","Calyx","बाह्य दलपुंज से","c","केसर पुष्प वर्तिका से प्राप्त किया जाता है। केसर का वनस्पतिक नाम क्रोकस सैटाइवस है। अंग्रेजी में इस सैफरॉन के नाम से जाना जाता है। केसर एक सुगंध देने वाला पौधा है। इसके पुष्प की वर्तिकाग्र को कसर, कुंकुम, सैफ्रन आदि कहते हैं। लौंग फूल की कली से प्राप्त होता है। • हरोइन अफीम पोस्ता से प्राप्त होती है • लीची का खाने योग्य भाग एरिल • नारियल का खाने योग्य भाग भ्रूणकोश • नारंगी का खाने योग्य भाग जूसी हेयर"
"137","Part-IV","Social Science","","How many ribs are there in human body","मानव शरीर में कुल कितनी पसलियाँ होती हैं?","26","छब्बीस","22","बाईस","24","चौबीस","28","अट्ठाईस","c","मानव शरीर में कुल 24 पसलियाँ होती हैं। पसलियाँ विशेष रूप से मुड़ी हुयी रहती हैं, वे वक्ष की अस्थि एवं मेरुदंड से जुड़कर एक बक्से की रचना करती हैं। इस शंकुरूपी बक्से को पसली पिंजर कहते हैं। वक्ष के दोनों तरफ 12-12 पसलियाँ होती हैं। हमारे शरीर के कुछ महत्वपूर्ण अंग इसमें सुरक्षित रहते हैं। मनुष्य का कशेरुक दंड 33 कशेरुकों से मिलकर बना है। सभी कशेरुक उपास्थि गद्दियों के द्वारा जुड़े रहते हैं। इन गद्दियों से कशेरुक दण्ड लचीला रहता है। इसका पहला कशेरुक जो कि 'एटलस कशेरुक' कहलाता है, जो खोपड़ी को साधे रहता है।"
"138","Part-IV","Social Science","","Which disease is prevented by T.A.B. vaccine?","टी.ए.बी. का टीका किस रोग से बचाव करता है?","Diphtheria","डिप्थीरिया","Tuberculosis","तपेदिक","Typhoid","मियादी बुखार","Pertussis","काली खाँसी","c","टी.ए.बी. का टीका मियादी बुखार से बचाव करता है। यह सालमोनेला टाइफी जीवाणु द्वारा फैलता है। इससे बुखार, कमजोरी तथा शरीर में दर्द होने लगते हैं। डिप्थीरिया, कालीखाँसी और टिटेनस के लिए डी.टी.पी. का टीका लगाया जाता है। तपेदिक (टीबी) के लिए बी.सी.जी. का टीका लगाया जाता है।"
"139","Part-IV","Social Science","","On which day in 'International Yoga Day' celebrated?","'अंतर्राष्ट्रीय योग दिवस' किस दिन मनाया जाता है?","20th June","20 जून","21st June","21 जून","25th June","25 जून","28th June","28 जून","b","'अन्तर्राष्ट्रीय योग दिवस' 21 जून को मनाया जाता है। (Table of important days follows)"
"140","Part-IV","Social Science","","In which clothes are resin starch used?","किन वस्त्रों में गोंद के कलफ का उपयोग होता है?","Cotton clothes","सूत्री वस्त्र","Woolen clothes","ऊनी वस्त्र","Silken clothes","रेशमी वस्त्र","Nylon clothes","नायलॉन वस्त्र","c","रेशमी वस्त्र में गोंद के कलफ का उपयोग होता है। रेशम प्राकृतिक प्रोटीन से बना रेशा है। रेशम के कुछ प्रकार के रेशों से वस्त्र बनाए जा सकते हैं। ये प्रोटीन रेशों में मुख्यतः फाइब्रोइन (Fibroin) होता है। ये रेश कुछ कीड़ों के लार्वा द्वारा बनाया जाता है। सबसे उत्तम रेशा शहतूत के पत्तों पर पलने वाले कीड़ों के लार्वा द्वारा बनाया जाता है।"
"141","Part-IV","Social Science","","When ""Sports Day"" is celebrated?","""खेल दिवस"" कब मनाया जाता है?","29 August","29 अगस्त","25 August","25 अगस्त","30 August","30 अगस्त","31 August","31 अगस्त","a","खेल दिवस 29 अगस्त को मनाया जाता है। हॉकी के जादूगर मेजर ध्यानचंद की जयंती पर खेल दिवस मनाया जाता है। 29 अगस्त 1905 को इनका जन्म हुआ था। शारीरिक गतिविधियों में शामिल होने के लिये खेल सबसे अच्छा तरीका है, तथा खेल तनाव और चिन्ता से मुक्ति प्रदान करता है। (Table of important days follows)"
"142","Part-IV","Social Science","","Who is the author of the most prominent book on yoga ""Yog Darshan""?","योग के सम्बन्ध में प्रमुख ग्रन्थ ""योग दर्शन"" के लेखक कौन हैं?","Maharshi Narad","महर्षि नारद","Maharshi Bharat","महर्षि भरत","Maharshi Patanjali","महर्षि पतंजलि","Maharshi Devdatt","महर्षि देवदत्त","c","योग के सम्बन्ध में प्रमुख ग्रन्थ ""योग दर्शन"" के लेखक महर्षि पतंजलि हैं। (Table of authors and texts follows)"
"143","Part-IV","Social Science","","'Zein' protein is related to which crop?","'जीइन' नामक प्रोटीन किस फसल से सम्बन्धित है?","Soybean","सोयाबीन से","Paddy","धान से","Maize","मक्का से","Oat","जई से","c","ज़ीइन नामक प्रोटीन मक्का फसल से सम्बंधित है। कार्बोहाइड्रेट, प्रोटीन, वसा, विटामिन तथा खनिज लवण के अलावा हमारे भोजन में आहारी रेशे और जल भी पाये जाते हैं। प्रोटीन दाल, सोयाबीन, मटर, राजमा, पनीर, अंडा में पाया जाता है, जो शरीर की वृद्धि करने में मदद करते हैं। प्रोटीन शब्द का नामकरण जे. मूल्डर ने 1840 में किया था। यह एक जटिल कार्बनिक यौगिक हैं। प्रोटीन जीवद्रव्य एवं ऊतकों के निर्माण में भाग लेते हैं बच्चों में प्रोटीन की कमी से क्वाशियोकर एवं मरास्मस नामक रोग हो जाता है। मक्का में व्हाइट बाइट एवं धान में खैरा रोग जस्ता की कमी के कारण होता है। मक्का फसल की उत्पत्ति मध्य अमेरिका में हुयी, जबकि सोयाबीन की उत्पत्ति चीन में हुयी। सोयाबीन के उत्पादन में म.प्र. प्रथम स्थान पर है।"
"144","Part-IV","Social Science","","Which breed of cow is dual purpose?","गाय की कौन-सी नस्ल दुकाजी उद्देश्य की है?","Jersey","जर्सी","Gir","गीर","Sindhi","सिंधी","Tharparkar","थारपारकर","d","गाय की थारपारकर नस्ल दुकाजी उद्देश्य की है। यह गाय राजस्थान में जोधपुर और जैसलमेर में मुख्य रूप से पायी जाती है। इस नस्ल की गाय भारत की सर्वश्रेष्ठ दुधारू गायों में गिनी जाती है। इस गाय की उत्पत्ति स्थल 'मालाणी' (बाड़मेर) है। राजस्थान में इसे 'मालाणी' नस्ल के नाम से जाना जाता है।"
"145","Part-IV","Social Science","","India has divided in how many Agro Climatic Zones?","भारत को कुल कितने कृषि जलवायु क्षेत्रों में बाँटा गया है?","12","12","9","9","15","15","22","22","c","भारत को कुल 15 कृषि जलवायु क्षेत्रों में बांटा गया तथा उत्तर प्रदेश को कुल 9 कृषि जलवायु प्रदेशों में बाँटा गया है। भारत एक कृषि प्रधान देश है यहाँ की आधे से अधिक जनसंख्या कृषि व उससे सम्बन्ध कार्यों में लगी हुयी है। सामान्य रूप से भारत की कृषि पर चार प्रमुख कारकों का प्रभाव पड़ता है। 1. भौतिक कारक 2. संस्थागत कारक 3. संरचनात्मक कारक 4. राजनीति प्रशासनिक कारक भारत की भौतिक संरचना, जलवायविक एवं मृदा सम्बन्धी विभिन्नताएँ ऐसी है जो यहाँ अनेक प्रकार की फसलों की कृषि को प्रोत्साहित करती है। यहाँ पर मुख्यतः तीन फसलें पैदा की जाती है। 1. रबी की फसल 2. खरीफ की फसल 3. जायद की फसल"
"146","Part-IV","Social Science","","Who is the writer of 'Rajpoot Painting'?","'राजपूत पेंटिंग' के लेखक कौन हैं?","Rai Krishna Das","राय कृष्ण दास","Ananda K. Coomaraswamy","आनन्द के. कुमारस्वामी","W.G. Archer","डब्ल्यू.जी. आर्चर","None of these","इनमें से कोई नहीं","b","राजपूत पेंटिंग के लेखक आनन्द कुमार स्वामी हैं जिसे 1916 में लिखा था। जिसमें विभिन्न ऋतुओं का श्रृंगारिक चित्रण कर उनका मानव जीवन पर पड़ने वाले प्रभावों का अंकन किया गया है। राजपूत पेंटिंग में पहाड़ी चित्र शैली को भी शामिल किया गया है। इस शैली के अंतर्गत केवल राजस्थान की चित्रकला को ही स्वीकार करते हैं।"
"147","Part-IV","Social Science","","Folk Art is associated with","लोक कला का सम्बन्ध है-","Painting","चित्रकला से","Regional Art","क्षेत्रीय कला से","Modern Art","आधुनिक कला से","Pre-Historical Art","प्रागैतिहासिक कला से","b","लांक कला का सम्बन्ध क्षेत्रीय कला से है, लोक कला स्थानीय समुदाय की समग्र कलात्मक गतिविधि है, यह एक सामाजिक या जातीय समूह के सदस्यों द्वारा निर्मित कला है जिन्होंने अपनी संस्कृति को संरक्षित किया है। बिहू नृत्य यह असम के कचारी व कहारी जनजातियों में प्रचलित हैं। घूमर राजस्थान का प्रचलित लोकनृत्य है जिसे भील जनजाति की स्त्रियां करती हैं। पाण्डवानी छत्तीसगढ़ में प्रचलित लोकनृत्य हैं। भारत की प्रमुख लोक कला- (Table follows)"
"148","Part-IV","Social Science","","Geometrical design is called","ज्यामितीय डिज़ाइन कहते हैं-","Design made by geometrical forms","ज्यामितीय आकरों से बनी आकृति को","Geometrical forms","ज्यामितीय आकारों को","Design made in square","वर्ग में बनी डिज़ाइन को","None of these","इनमें से कोई नहीं","a","ज्यामितीय डिजाइन ज्यामितीय आकारों से बनी आकृति को कहते हैं। ज्यामिती का एक लंबा बहुमूल्य इतिहास है शब्द ज्यामिती यूनानी शब्द जियोमीट्रॉन (Geometron) का अंग्रेजी तुल्य है। जिया का अर्थ भूमि और मीट्रोन का अर्थ है-मापना। इतिहासकारों के अनुसार प्राचीन समय में ज्यामितीय अवधारणाएँ सम्भवतः कला, वास्तुकला, शिल्पकला और भूमि मापन की आवश्यकताओं के कारण विकसित हुयी। वैभवपूर्ण राज भवनों, मंदिरों, झीलों, बांधों और नगरों के निर्माणों कला और वास्तुकला या शिल्प ने इन अवधारणाओं को उजागर किया। किसी डिजाइन के संदेश या प्रसंग को विषय वस्तु कहा जाता है। ये प्रसंग ऐतिहासिक, सामाजिक, सांस्कृतिक आदि हो सकते हैं। डिजाइन का प्रयोजन या अनुप्रयोग प्रतिफल देना है"
"149","Part-IV","Social Science","","Aipan is associated with which State?","ऐपण का सम्बन्ध किस राज्य से है?","Madhya Pradesh","मध्य प्रदेश","Uttar Pradesh","उत्तर प्रदेश","Maharashtra","महाराष्ट्र","Uttarakhand","उत्तराखण्ड","d","'ऐपण' का सम्बन्ध उत्तराखंड राज्य से है। मिथिला की चित्रकारी में 'मधुबनी' चित्रकला प्रसिद्ध है। अरचायी कलाओं में, कोहबर, ऐपण, अल्पना, रंगोली जैसे कलाएँ काफी प्रचलित हैं, इन कलाओं का सम्बन्ध शादी त्योहार और उत्सवों से है, इन्हें क्षेत्रीय भाषाओं में अलग-अलग नाम से जाना जाता है (Table of regional art names follows) नोट-दक्षिण भारत में इसे कोलम के नाम से जाना जाता है।"
"150","Part-IV","Social Science","","How many total numbers of Shrutees are there in Hindustani Sangeet?","हिन्दुस्तानी संगीत में श्रुतियों की कुल कितनी संख्या मानी गई है?","13","तेरह","22","बाईस","12","बारह","9","नौ","b","हिन्दुस्तानी संगीत में श्रुतियों की कुल संख्या 22 मानी गयी हैं। हिन्दुस्तानी शास्त्रीय संगीत का वह छोटे से छोटा नाद जो कानों को स्पष्ट सुनाई दे, व समझा जा सकें श्रुति कहलाता है शास्त्रकार श्रुति की परिभाषा इस प्रकार करते हैं ""श्रूयते इति श्रुतिः"" अर्थात जो आवाज कान को सुनाई दे वह श्रुति है। सप्तक-सात स्वरों के समूह को जब एक क्रम में कहा जाता है अथवा लिखा जाता है तब उसे सप्तक कहते हैं, संक्षप में हम कह सकते हैं कि सप्तक में सातों स्वर क्रमानुसार होते हैं। उदाहरण के लिये सा, रे, ग, म, प, ध, नी यह एक सप्तक है कहरवा-कहरवा ताल में 8 मात्राएँ होती हैं। कहरवा ताल चंचल प्रकृति का ताल है, इसका प्रयाग तबले, ढोलक आदि वाद्यों पर किया जाता है। मात्रा-संगीत में समय नापने के लिये जिस इकाई का प्रयोग किया जाता है उस मात्रा कहते हैं। मात्राओं के आधार पर तानों की रचना होती है।"
